id,day,event_type,category,region,device,account_age_days,num_prev_listings,prev_reports_30d,verification_level,price,num_images,message_length,contains_off_platform,urgency_words,payment_attempt,time_to_first_response_min,risk_score
330,3,ad_post,furniture,urban,android,23.0,0,0,0,,3,55,1,1,0,6.0,0.9505046609710996
1290,5,ad_post,fashion,rural,ios,14.9,1,1,1,736.86,1,215,1,0,0,3.4,0.9493212444418093
540,3,message_send,electronics,metro,ios,41.7,2,1,1,1073.92,1,107,0,1,1,7.5,0.9485718102415064
1597,4,ad_post,furniture,rural,web,57.5,9,1,0,682.45,7,116,1,0,0,30.4,0.9483887661535882
207,1,ad_post,electronics,rural,android,9.7,6,0,0,323.35,3,179,1,0,1,1.1,0.9465076326451531
1545,2,ad_post,other,metro,android,25.2,2,0,0,177.25,6,44,1,0,1,28.0,0.9435793878022312
1155,5,message_send,phones,metro,ios,41.7,5,0,0,148.08,8,135,1,0,1,34.0,0.9423335666538412
1610,3,ad_post,fashion,urban,android,9.8,2,0,0,,2,65,1,0,1,22.7,0.9396760899795817
396,3,ad_post,other,urban,android,45.2,8,0,0,79.81,4,65,1,1,0,,0.9394224507695852
1332,3,ad_post,phones,metro,android,48.1,2,1,1,409.7,4,74,0,1,1,4.3,0.9389444777963105
375,3,ad_post,electronics,,ios,61.4,3,1,0,416.95,3,52,0,1,0,42.3,0.9358626504661178
126,1,message_send,furniture,urban,ios,38.3,2,2,1,279.22,0,128,0,0,1,22.9,0.9356319111817237
1620,3,message_send,other,metro,android,74.1,5,0,0,200.92,1,154,1,1,0,,0.9349170273825138
1089,2,message_send,electronics,urban,ios,57.8,0,2,0,332.16,1,231,0,0,0,6.1,0.9285911559957525
43,3,ad_post,furniture,metro,android,36.7,3,1,0,89.97,1,117,0,1,0,3.4,0.9284285814849889
803,3,ad_post,furniture,urban,android,44.7,6,1,0,146.06,7,0,0,1,0,69.3,0.9272588955862885
18,4,message_send,fashion,metro,ios,18.0,4,0,0,153.99,6,89,0,1,1,6.8,0.9260146984206664
451,2,message_send,bikes,metro,android,81.5,0,2,0,50.84,0,111,0,0,0,41.2,0.92492500117883
1743,2,ad_post,electronics,urban,android,78.3,3,0,0,710.68,8,180,1,0,1,10.7,0.922941776129355
880,3,ad_post,other,rural,ios,49.2,1,0,1,293.47,1,70,1,1,0,6.9,0.922856003749876
1030,3,ad_post,fashion,urban,android,35.7,2,1,0,61.7,1,132,0,1,0,37.8,0.9226286109433144
1025,1,message_send,electronics,urban,ios,50.5,3,1,0,,2,150,0,1,0,26.8,0.9218617504481237
527,1,ad_post,bikes,urban,android,44.6,0,1,1,11.62,2,163,0,1,1,15.5,0.9216882978497023
1713,2,ad_post,other,metro,android,71.3,3,1,0,68.61,5,96,0,1,0,8.6,0.9215874037567038
719,2,message_send,other,metro,ios,25.8,4,1,0,1552.32,1,241,0,0,1,102.5,0.9197990559055128
312,4,ad_post,bikes,rural,android,41.1,2,1,0,236.41,3,63,0,0,1,42.5,0.9195595012579868
1935,4,ad_post,bikes,metro,ios,27.1,3,0,0,837.61,3,0,1,0,0,,0.9195514747007596
1399,4,message_send,fashion,metro,android,101.1,2,0,0,147.57,3,83,1,0,1,7.5,0.9189582576249403
1953,2,ad_post,other,metro,android,4.9,4,1,0,242.33,3,163,0,0,1,41.5,0.9176789572140792
1318,5,ad_post,phones,rural,android,38.1,3,0,0,348.87,10,139,0,1,1,11.8,0.9175169749456067
521,2,ad_post,bikes,metro,android,69.4,1,1,0,143.63,1,197,0,1,0,10.2,0.9169360935724621
1340,4,message_send,electronics,metro,android,15.2,2,2,1,380.92,2,196,0,0,0,8.6,0.9164713778016973
1738,5,ad_post,other,urban,web,35.3,1,2,0,173.79,5,91,0,0,0,25.7,0.9162070693104422
585,2,message_send,phones,rural,web,18.8,2,1,0,202.99,0,181,0,1,0,24.4,0.916004804151763
1105,3,ad_post,electronics,metro,ios,116.9,0,1,0,220.66,2,9,0,1,0,23.3,0.9152078757573705
1328,2,message_send,other,metro,ios,19.5,3,2,1,73.44,2,87,0,0,0,31.2,0.913814824428515
5,5,message_send,electronics,metro,android,38.0,4,1,0,99.0,3,115,0,0,1,5.9,0.9128938131109537
503,4,ad_post,other,rural,android,20.7,6,0,0,345.87,5,105,0,1,1,5.8,0.9126646557229516
977,4,message_send,bikes,rural,ios,17.0,0,0,0,96.66,3,173,1,0,0,12.3,0.9121799445257416
1926,4,ad_post,other,metro,ios,22.8,2,0,1,,5,37,1,0,1,15.0,0.9121447100925012
1917,1,ad_post,bikes,rural,android,6.4,5,0,0,,0,157,0,1,1,15.2,0.910540667226716
736,3,ad_post,furniture,rural,android,10.3,3,0,0,231.41,3,35,1,0,0,31.8,0.9097581809003222
22,4,ad_post,electronics,urban,web,16.7,3,0,0,65.27,2,107,1,0,1,16.6,0.9094454599361051
1913,5,ad_post,phones,urban,ios,6.4,5,2,1,274.44,4,192,0,0,0,11.3,0.9088723031936421
516,4,ad_post,other,urban,ios,24.3,2,1,0,220.14,3,71,0,0,1,17.8,0.9088491954340928
999,5,ad_post,furniture,,ios,34.5,3,1,0,80.09,1,151,0,0,1,8.5,0.908673937544129
1728,5,message_send,phones,metro,android,22.9,3,1,0,,1,209,0,0,1,1.7,0.9080854228473663
1057,3,message_send,other,rural,ios,22.3,2,0,0,82.97,1,141,0,1,1,13.4,0.9071622098748927
1169,1,message_send,bikes,urban,ios,106.1,3,2,0,115.58,4,202,0,0,0,89.6,0.9068392177518306
30,4,ad_post,phones,metro,android,29.3,2,1,0,21.35,2,135,0,0,1,24.8,0.9065498282434266
356,4,ad_post,other,metro,android,91.8,3,0,0,65.49,3,155,1,0,1,13.2,0.9049353091225233
1342,5,message_send,electronics,,ios,38.0,1,0,0,555.83,1,206,0,1,1,,0.9049091395087003
378,4,message_send,phones,metro,ios,59.8,3,1,0,,5,228,0,0,1,23.8,0.901590406205213
1546,2,ad_post,furniture,metro,android,24.3,2,0,0,165.4,5,51,1,0,0,25.1,0.9014518645711111
1211,5,ad_post,other,metro,android,103.5,3,1,0,74.72,2,87,0,1,0,3.9,0.90143438710134
572,2,message_send,bikes,urban,android,37.6,0,0,0,610.85,5,120,0,1,1,4.8,0.901177674201143
620,4,ad_post,fashion,rural,android,25.2,2,0,0,64.16,1,109,1,0,0,19.3,0.9005840961867306
949,2,message_send,bikes,metro,android,24.1,1,0,0,483.3,1,278,0,1,1,17.2,0.8994369933117184
1582,2,ad_post,electronics,urban,ios,29.3,2,0,0,335.67,4,19,1,0,0,11.4,0.8990874439306356
1362,3,message_send,furniture,metro,ios,43.5,3,0,0,26.59,5,185,0,1,1,16.5,0.8980738465262972
1495,1,ad_post,fashion,urban,android,23.9,2,0,1,366.66,1,0,1,0,1,,0.8980087651990071
419,5,ad_post,phones,metro,android,19.6,5,0,1,171.87,4,151,1,0,1,20.9,0.8974625952811423
1662,1,ad_post,other,urban,android,21.8,5,1,0,69.77,2,108,0,0,1,2.5,0.8960836874672387
1409,1,message_send,other,urban,android,9.2,4,0,0,192.31,3,96,0,1,1,4.8,0.8957880359408722
1880,2,message_send,other,rural,ios,40.5,2,0,0,46.33,1,25,1,0,0,17.0,0.8957360842088097
1625,3,ad_post,bikes,rural,android,22.9,2,0,0,55.92,2,210,1,0,0,4.1,0.8956648933519716
100,1,ad_post,other,metro,ios,77.4,1,1,0,89.35,3,75,0,0,1,17.7,0.8940674833258451
1150,4,ad_post,electronics,urban,android,17.6,1,1,1,258.6,1,28,0,1,0,,0.8936526840031949
1693,3,ad_post,other,,android,31.2,5,0,0,270.05,1,90,0,1,1,10.3,0.8935319654144829
741,4,ad_post,furniture,,android,39.1,3,0,0,303.84,3,156,0,1,1,16.6,0.8931960622871221
1137,1,ad_post,phones,metro,android,40.6,3,0,0,103.62,2,84,0,1,1,17.1,0.8915796110615075
682,2,ad_post,phones,rural,android,20.3,4,0,0,73.0,1,117,0,1,1,179.8,0.8914670510016304
1462,1,ad_post,electronics,rural,ios,73.5,2,0,0,112.29,5,87,1,0,0,14.6,0.8903430767977234
141,4,ad_post,phones,metro,web,96.0,2,2,0,129.46,1,116,0,0,0,20.6,0.8893687651039124
555,3,ad_post,furniture,urban,ios,26.6,4,0,0,120.17,4,30,1,0,0,7.2,0.8892040511452514
1326,3,message_send,phones,urban,android,26.4,3,2,1,44.12,1,140,0,0,0,7.3,0.887361439052019
1286,3,message_send,phones,metro,android,53.4,4,0,0,47.91,2,63,0,1,1,6.6,0.8871792256716532
1535,5,ad_post,phones,urban,android,27.7,4,0,1,47.19,5,59,1,0,1,7.0,0.8871051989081499
1408,2,message_send,electronics,urban,ios,222.4,1,1,1,168.24,3,203,1,0,1,6.5,0.8870737008943298
1481,2,message_send,bikes,urban,ios,25.3,1,0,0,227.55,2,180,1,0,0,3.2,0.8866613852709563
915,1,ad_post,other,urban,android,12.2,3,0,0,282.32,3,58,1,0,0,4.4,0.886644345117987
358,1,ad_post,electronics,rural,android,47.4,3,0,0,146.42,2,103,1,0,0,51.4,0.8853404497352942
675,5,message_send,bikes,rural,web,6.1,8,0,1,69.24,6,238,1,0,1,15.7,0.8852732266079849
729,2,ad_post,electronics,metro,android,44.9,2,0,0,41.7,4,146,1,0,0,9.8,0.8848372164917072
1347,3,ad_post,furniture,rural,ios,57.5,0,0,0,415.4,0,58,1,0,0,103.7,0.8834034833034619
365,4,message_send,furniture,rural,ios,47.0,5,0,0,309.9,2,246,1,0,0,12.0,0.8827340479638439
1511,2,ad_post,fashion,metro,web,19.1,2,0,1,380.06,2,113,1,0,1,27.5,0.8808860032389078
1043,3,ad_post,phones,urban,android,86.9,2,2,1,334.09,7,48,0,0,0,,0.8783959910227432
1198,5,ad_post,electronics,metro,ios,23.4,6,1,0,731.17,1,48,0,0,0,,0.8780640633336034
614,1,ad_post,other,rural,android,68.9,2,0,0,333.09,5,126,1,0,0,14.1,0.8774991542420327
1480,2,message_send,other,rural,android,3.7,3,1,0,,3,100,0,0,0,13.9,0.8756717050640147
146,5,message_send,fashion,urban,ios,40.8,4,0,0,460.6,1,216,1,0,0,16.2,0.8755123320248152
779,5,ad_post,other,urban,android,22.2,6,0,0,135.3,2,98,0,1,1,84.4,0.875507143259102
1292,4,ad_post,bikes,metro,android,79.3,5,1,1,,3,44,0,1,0,9.3,0.8742120761401353
1794,5,ad_post,fashion,metro,ios,25.0,1,1,0,135.54,3,137,0,0,0,10.3,0.8741305941586013
159,1,ad_post,bikes,urban,ios,46.2,3,0,0,141.21,2,85,1,0,0,20.9,0.8738081378084839
1974,1,message_send,electronics,urban,android,22.5,5,0,0,393.99,0,173,1,0,0,19.5,0.8738045675622217
763,3,message_send,other,urban,android,37.3,0,0,0,80.98,7,162,1,0,0,32.4,0.8735167358972111
927,4,ad_post,other,urban,ios,39.0,2,0,0,100.89,4,132,1,0,0,5.7,0.873056953855766
733,3,message_send,other,metro,ios,44.8,5,0,0,162.21,1,191,1,0,0,21.9,0.872583369106141
1619,4,message_send,other,metro,ios,115.6,2,0,1,83.42,0,139,1,1,0,43.5,0.8718250843922888
610,1,ad_post,electronics,,android,17.1,1,1,1,143.3,2,79,0,0,1,33.0,0.8710013823199151
1878,4,ad_post,bikes,metro,web,7.6,6,0,0,100.91,1,98,1,0,0,2.7,0.8709916084383862
866,2,ad_post,fashion,urban,android,113.5,3,1,0,390.13,4,53,0,0,1,11.4,0.8706184107499353
1777,4,ad_post,other,rural,android,9.3,6,1,0,293.01,3,118,0,0,0,3.6,0.8701251833694269
287,2,ad_post,bikes,metro,android,76.2,1,0,0,39.95,2,136,0,1,1,52.4,0.8701058364893547
1865,1,ad_post,other,metro,android,10.3,4,1,0,365.19,2,0,0,0,0,27.4,0.8698762329278051
1919,1,ad_post,electronics,urban,android,61.1,2,0,0,315.34,3,25,1,0,0,17.7,0.8695011211754653
711,2,message_send,other,metro,ios,8.9,3,1,0,,3,161,0,0,0,3.4,0.8682675996193342
1236,5,ad_post,other,metro,android,11.1,1,1,0,95.14,4,60,0,0,0,28.4,0.8679225184959106
1851,2,ad_post,bikes,metro,ios,137.0,4,1,0,217.1,3,93,0,0,1,15.9,0.8678786201515798
1789,3,ad_post,other,metro,ios,26.6,3,1,0,118.18,3,0,0,0,0,37.7,0.8660089653532826
1918,5,ad_post,other,metro,ios,13.5,4,1,1,,0,51,0,0,1,61.0,0.8654129233670272
1252,1,ad_post,furniture,metro,ios,20.2,2,1,0,217.3,1,63,0,0,0,19.6,0.8652599996097917
944,4,ad_post,other,,ios,34.0,3,1,1,784.42,1,130,0,0,1,2.9,0.8652417824433887
197,3,ad_post,electronics,rural,android,15.7,4,0,0,238.8,6,116,0,1,0,20.3,0.8648301474198177
1189,2,ad_post,phones,urban,ios,76.6,1,0,0,193.9,4,143,0,1,1,17.9,0.8644969113093883
1264,2,ad_post,bikes,metro,android,20.8,2,1,0,285.81,3,155,0,0,0,9.7,0.8643797845113786
646,5,ad_post,other,rural,ios,42.5,2,1,0,176.26,2,0,0,0,0,2.3,0.8642163389521016
1048,3,message_send,furniture,rural,android,21.7,1,1,0,186.57,3,164,0,0,0,14.2,0.8639705973743644
973,1,ad_post,furniture,metro,android,25.5,6,1,0,344.53,5,54,0,0,0,33.2,0.8639195840744335
1220,5,ad_post,phones,metro,ios,22.0,3,1,0,102.72,3,119,0,0,0,10.9,0.8637342762128187
267,2,ad_post,other,,ios,13.9,3,1,0,261.5,3,141,0,0,0,36.2,0.8636752159313333
768,2,ad_post,furniture,urban,ios,99.0,3,0,0,181.89,5,0,0,1,1,5.0,0.8635141910202931
1886,1,ad_post,bikes,metro,android,27.4,5,1,0,131.16,3,50,0,0,0,17.5,0.8629401262242035
702,1,ad_post,furniture,metro,ios,81.2,3,0,0,103.21,2,92,1,0,0,7.2,0.8625731760656873
209,3,ad_post,furniture,,android,32.0,1,1,0,308.18,6,121,0,0,0,22.2,0.8613555157351452
1082,2,message_send,phones,rural,ios,5.1,2,0,0,191.08,2,169,0,1,0,32.2,0.8594267861464271
229,2,message_send,bikes,metro,ios,38.8,0,1,0,101.84,3,101,0,0,0,78.5,0.8589907122904051
1069,2,ad_post,furniture,,web,18.9,3,1,2,82.86,1,56,1,0,0,7.0,0.8589157396634828
1747,1,ad_post,phones,metro,android,11.2,3,0,1,316.82,3,47,0,1,1,34.2,0.8588738556429094
118,3,ad_post,bikes,metro,ios,29.5,1,0,0,253.11,5,103,0,1,0,,0.8586328521850426
1403,1,message_send,furniture,rural,ios,40.1,2,1,1,362.35,2,210,0,0,1,50.9,0.8583918829385988
377,2,ad_post,bikes,metro,ios,49.7,1,1,0,183.92,4,112,0,0,0,8.8,0.8583115141029343
101,5,ad_post,phones,metro,android,9.3,2,0,0,141.64,6,87,0,1,0,13.0,0.8583115129917915
1429,5,message_send,bikes,metro,android,25.2,2,0,0,239.53,6,118,0,1,0,3.2,0.8582856490429823
778,3,message_send,fashion,rural,android,79.2,2,0,0,116.14,0,244,1,0,0,,0.8581567590959557
513,5,message_send,furniture,metro,android,18.9,3,1,1,186.2,2,188,0,0,1,2.6,0.8581133312726635
1455,1,ad_post,electronics,metro,android,44.9,3,1,0,594.66,3,91,0,0,0,19.8,0.8572763421362825
1928,5,ad_post,bikes,metro,android,13.7,1,0,1,691.67,3,126,1,0,0,15.7,0.8567039021758901
850,5,message_send,other,metro,android,68.4,4,0,0,,3,178,1,0,0,32.0,0.8560526844268181
918,3,ad_post,furniture,metro,android,19.2,3,1,0,84.27,2,55,0,0,0,46.9,0.8553482829350662
700,5,ad_post,other,metro,android,57.8,3,1,0,185.03,8,0,0,0,0,7.4,0.8552399111833533
1385,5,ad_post,furniture,rural,ios,27.7,2,0,0,,4,76,0,1,0,53.6,0.8543163688311224
453,3,ad_post,furniture,urban,web,22.4,4,0,1,28.74,4,3,1,0,1,38.8,0.8542889540520537
896,2,message_send,phones,metro,android,32.4,3,1,0,,2,39,0,0,0,14.2,0.853838470371091
1496,2,message_send,fashion,,android,50.2,2,1,1,79.02,1,77,0,0,1,21.7,0.8522273704203533
174,2,ad_post,furniture,rural,android,27.7,1,0,0,370.23,2,24,0,1,0,,0.8510637216683034
1151,2,ad_post,fashion,urban,ios,27.1,2,1,0,147.78,3,143,0,0,0,13.1,0.8509997656331857
1294,3,message_send,other,metro,ios,14.4,3,1,0,120.19,0,170,0,0,0,43.3,0.850885350086542
325,3,ad_post,other,rural,android,15.0,2,1,2,164.89,3,18,0,1,0,51.9,0.8502889036288773
704,2,ad_post,bikes,urban,android,39.2,2,1,0,683.73,3,30,0,0,0,16.9,0.8501870574670546
1849,2,message_send,bikes,metro,android,49.3,4,1,0,50.06,7,187,0,0,0,,0.8501445894915359
1667,2,message_send,other,rural,android,27.5,3,1,0,66.4,1,125,0,0,0,9.6,0.8501355061867502
1209,2,ad_post,fashion,urban,android,17.5,3,1,1,309.15,1,146,0,0,1,30.1,0.8495131412842246
543,3,message_send,other,urban,android,61.1,2,0,0,122.14,3,269,0,1,1,6.5,0.8489564828908879
1574,5,ad_post,furniture,metro,android,53.6,0,1,0,252.59,4,48,0,0,0,9.4,0.8489013185289689
1732,4,ad_post,other,urban,android,16.2,2,1,0,656.74,2,79,0,0,0,,0.8487886465719442
1768,4,message_send,bikes,,android,25.5,3,0,1,190.25,2,118,0,1,1,,0.8485782246097268
1400,4,message_send,electronics,metro,android,34.8,0,0,1,398.28,2,126,0,1,1,1.3,0.8485370788387451
1334,1,message_send,furniture,metro,android,12.6,2,1,0,61.51,1,206,0,0,0,,0.8484798837998231
295,1,ad_post,other,metro,android,4.9,1,0,0,49.14,4,108,0,1,0,10.2,0.8481744705393588
1229,5,ad_post,fashion,urban,web,86.2,3,1,0,,2,0,0,0,1,9.8,0.8476813506980821
1502,5,message_send,furniture,urban,android,71.7,2,0,0,133.19,5,182,1,0,0,5.0,0.8476409809994825
1976,1,ad_post,phones,metro,android,40.3,2,1,1,168.12,3,132,0,0,1,35.6,0.8473817039087916
770,4,ad_post,bikes,,ios,24.0,3,0,1,211.03,1,57,1,0,0,3.2,0.8455790484729213
1982,3,message_send,other,metro,ios,39.9,2,1,0,,0,90,0,0,0,7.7,0.8453446720721002
1484,4,message_send,bikes,,ios,127.0,1,1,1,86.37,3,170,0,1,0,6.0,0.8439593129987136
542,2,ad_post,furniture,metro,ios,116.2,3,0,0,34.61,3,50,1,0,0,2.5,0.8437924391447107
1696,1,ad_post,phones,metro,android,19.5,6,0,1,,1,17,0,1,1,24.0,0.8432535095993557
1912,2,message_send,electronics,,android,69.9,2,1,0,337.73,6,158,0,0,0,10.4,0.8421525872069926
1407,1,ad_post,furniture,,ios,150.5,1,1,0,95.55,1,129,0,0,1,7.4,0.8412903924895195
1287,4,ad_post,other,rural,android,50.8,1,1,0,46.43,2,71,0,0,0,8.4,0.8408351711291882
1973,5,message_send,furniture,metro,ios,68.7,1,1,1,412.65,5,270,0,0,1,12.0,0.840782907344904
390,3,ad_post,electronics,urban,android,25.1,5,1,0,46.89,3,56,0,0,0,20.2,0.8397836012188274
762,3,ad_post,furniture,,android,39.7,2,0,0,,6,60,0,1,0,5.3,0.8396320479876563
1652,1,ad_post,phones,urban,ios,29.3,2,1,0,108.8,1,28,0,0,0,23.3,0.8395876597555115
1799,5,ad_post,furniture,metro,ios,163.3,0,1,0,265.22,1,112,0,0,1,11.2,0.8390005194137148
978,2,message_send,electronics,urban,ios,53.7,4,1,0,,8,177,0,0,0,28.4,0.8385571548619682
391,4,message_send,fashion,metro,ios,22.6,6,0,0,88.58,1,187,0,1,0,39.7,0.8382993973618885
1301,3,message_send,other,metro,android,14.1,3,0,0,207.02,1,95,0,1,0,4.4,0.8378799546627131
1330,1,message_send,other,rural,android,100.1,4,0,0,,1,155,1,0,0,14.3,0.8376009340065693
705,2,message_send,bikes,urban,ios,40.9,3,2,2,336.61,2,130,0,0,0,7.9,0.8374563997608238
1269,2,ad_post,other,urban,android,125.0,6,1,0,536.45,2,108,0,0,1,1.5,0.8369676374126926
1536,3,ad_post,other,metro,ios,30.6,3,0,1,232.16,2,25,1,0,0,7.5,0.8360329186405832
965,5,message_send,electronics,metro,ios,48.8,3,0,0,636.75,1,143,0,1,0,21.4,0.8353476723017552
983,2,ad_post,electronics,metro,android,30.3,0,0,0,98.69,0,44,0,1,0,13.6,0.8348671594034213
372,2,ad_post,other,metro,ios,26.1,1,0,1,585.18,2,165,1,0,0,1.3,0.8348477938707689
1341,1,ad_post,electronics,rural,android,82.6,2,1,0,128.52,3,43,0,0,0,2.0,0.834602087369008
428,3,ad_post,furniture,metro,android,29.8,5,0,1,142.06,5,185,0,1,1,5.7,0.8344604040654265
138,5,ad_post,phones,metro,android,127.5,2,0,0,18.36,3,109,0,1,1,,0.8339469898375479
1931,2,ad_post,bikes,metro,ios,64.8,2,1,0,81.4,1,134,0,0,0,3.7,0.833425685714793
272,2,ad_post,bikes,rural,android,67.0,0,1,1,37.88,1,170,0,0,1,,0.8326997881229102
485,5,message_send,electronics,rural,android,48.8,2,0,0,392.15,2,156,0,1,0,12.6,0.8324320339082607
844,5,ad_post,phones,urban,android,23.5,5,1,0,,4,152,0,0,0,3.9,0.8321818176052675
1158,3,ad_post,phones,rural,android,70.7,1,1,0,58.02,1,0,0,0,0,27.9,0.8305672173832852
1003,4,message_send,bikes,urban,android,17.8,3,0,0,94.03,3,78,0,1,0,,0.8302840721883097
744,3,ad_post,bikes,metro,android,135.5,2,1,1,,0,9,0,1,0,13.0,0.829222461763049
1282,4,message_send,electronics,,android,15.4,4,0,0,432.9,1,313,0,1,0,16.3,0.8291285472703624
1013,3,message_send,furniture,rural,android,37.1,4,0,0,49.23,2,110,0,1,0,,0.8283512533582236
1674,2,message_send,bikes,metro,android,38.0,5,0,0,46.51,4,181,0,1,0,4.4,0.8275653824898238
1218,4,ad_post,other,rural,android,131.3,3,0,0,159.57,1,14,1,0,0,7.9,0.8273492156062087
1940,3,message_send,phones,urban,android,55.4,2,0,0,190.48,1,272,1,0,0,125.2,0.8266838885063065
1810,2,ad_post,other,,android,60.1,1,1,0,27.76,1,16,0,0,0,,0.8256802818757034
1624,3,ad_post,phones,,android,29.2,4,0,1,150.02,3,78,1,0,0,,0.8255577904428733
1323,4,ad_post,electronics,metro,ios,55.2,1,0,1,305.2,4,165,1,0,0,4.1,0.8250297194389217
430,5,ad_post,electronics,rural,android,170.1,4,2,1,202.51,2,139,0,0,0,16.3,0.8238962415305704
576,5,ad_post,phones,urban,android,44.9,5,1,0,162.88,2,0,0,0,0,4.6,0.8232783287032507
232,2,message_send,bikes,rural,ios,69.6,3,0,0,185.05,1,89,0,1,0,8.2,0.8232250693998271
683,3,ad_post,phones,urban,android,20.6,4,0,1,125.16,1,9,0,1,1,15.3,0.822651464689853
1640,2,ad_post,phones,urban,android,138.9,2,0,1,144.55,6,0,1,0,1,,0.8206411429261207
1666,1,message_send,furniture,urban,web,87.9,4,1,0,98.03,3,164,0,0,1,5.0,0.8201897172475823
1910,3,message_send,other,metro,android,56.5,2,2,2,82.03,0,75,0,0,0,,0.8193152081664464
1006,3,ad_post,bikes,,android,16.9,2,0,0,897.96,1,44,0,0,1,28.3,0.8191682819808992
963,3,message_send,fashion,urban,android,26.0,4,0,1,159.68,2,45,1,0,0,28.4,0.8189210693850916
1471,5,ad_post,other,metro,android,10.3,1,0,0,109.64,6,0,0,0,1,30.5,0.8182103305333233
1816,3,message_send,bikes,urban,android,36.0,3,0,0,71.44,4,97,0,1,0,3.6,0.8181666636923154
810,2,message_send,bikes,metro,ios,66.5,3,0,0,32.87,3,110,0,1,0,,0.8181424093871908
52,1,ad_post,phones,rural,android,40.2,1,0,1,132.05,3,161,1,0,0,16.0,0.8173197145829916
1295,1,ad_post,electronics,metro,web,107.9,4,0,0,69.5,4,91,0,1,1,40.1,0.8171290066830416
29,4,ad_post,other,metro,android,62.0,4,0,0,547.17,5,101,0,1,0,4.1,0.8166230849933305
529,2,ad_post,other,urban,android,36.8,1,1,0,69.74,1,58,0,0,0,13.2,0.8165547204589524
1445,5,message_send,bikes,metro,ios,18.4,2,0,0,200.67,0,38,0,0,1,4.6,0.8138871033101946
1631,1,message_send,electronics,rural,android,38.7,4,0,0,120.19,2,315,0,1,0,28.8,0.8133508862701703
670,1,message_send,other,metro,ios,43.3,4,0,0,210.02,0,144,0,1,0,3.1,0.8130636670230896
282,5,ad_post,furniture,rural,android,4.9,3,0,0,80.08,4,124,0,0,1,10.6,0.8123498959082288
95,4,ad_post,bikes,metro,web,32.3,3,1,1,29.95,3,140,0,0,1,49.4,0.8122359058737195
690,5,ad_post,bikes,metro,android,55.5,4,0,1,410.37,1,67,1,0,0,,0.8117281468831883
205,3,ad_post,furniture,metro,android,68.3,6,1,0,97.19,2,108,0,0,0,4.2,0.8116910311746511
951,2,ad_post,other,,ios,9.3,4,0,0,40.78,3,18,0,0,1,11.0,0.8112949874346598
115,3,ad_post,phones,,android,9.5,2,0,0,75.96,7,121,0,0,1,12.3,0.8112814300219319
1346,4,ad_post,phones,metro,android,12.2,4,0,0,,5,19,0,0,1,33.9,0.8111978809659213
57,2,message_send,other,metro,web,31.7,2,1,1,140.17,3,116,0,0,1,26.8,0.8107027180028944
1305,5,ad_post,electronics,urban,ios,82.3,3,1,1,102.44,3,0,0,0,1,128.0,0.8106397771326496
349,5,ad_post,electronics,metro,ios,6.8,1,1,1,102.6,3,107,0,0,0,14.9,0.8104271990349797
1029,1,ad_post,furniture,metro,android,21.3,3,0,0,152.82,7,41,0,0,1,23.5,0.8100506603828584
